movies,characters,animals,books,actions,objects,philosophy,mythology
El Padrino,Harry Potter,León,Cien Años de Soledad,Correr,Lápiz,Amor,Zeus
Titanic,Batman,Tigre,Orgullo y Prejuicio,Saltar,Esfero,Ética,Hera
Star Wars,Superman,Elefante,Crimen y Castigo,Nadar,Libro,Verdad,Poseidón
Parque Jurásico,Marilyn Monroe,Jirafa,Don Quijote de la mancha,Volar,Taza,Belleza,Hades
Forrest Gump,Michael Jackson,Rinoceronte,La Odisea,Coser,Silla,Lógica,Afrodita
El Señor de los Anillos,Tarzán,Hipopótamo,Moby Dick,Patinar,Mesa,Estética,Apolo
Batman: El caballero de la noche,Spiderman,Cebra,Los miserables,Montar en bicicleta,Celular,Mente,Artemisa
Pulp Fiction,Rapunzel,Gorila,La metamorfosis,Conducir,Computadora ,Alma,Ares
El silencio de los inocentes,Cristiano Ronaldo,Cerdo,La divina comedia,Leer,Reloj,Fe,Atenea
Matrix,Lionel Messi,Oveja,Drácula,Escribir,Llaves,Libertad,Hermes
Volver al futuro,Michael Jordan,Oso,El código Da Vinci,Pintar,Gafas,Moral,Hefesto
Gladiador,Shakira,Koala,La isla del tesoro,Cocinar,Cartera,Vicio,Dionisio
Toy Story,Vicente Van Gogh,Canguro,El alquimista,Comer,Mochila,Amistad,Deméter
Avatar,Hércules,Ardilla,El principito,Beber,Sombrero,Poder,Persefone
Casablanca,Mickey Mouse,Lobo,It,Dormir,Zapatos,Naturaleza,Hércules
Psicosis,Usain Bolt,Zorro,Los Juegos del Hambre,Despertar,Calcetines,Vida,Aquiles
Ciudadano Kane,Cenicienta,Perro,El Hobbit,Cepillarse los dientes,Camisa,Infinito,Medusa
La La Land,Rocky,Gato,El señor de los anillos,Lavar los platos,Pantalones,Tiempo,Minotauro
E.T. el extraterrestre,Darth Vader,Pingüino,El diario de Ana Frank,Lavar ropa,Abrigo,Ser,Cíclope
Rocky,Obama,Delfín,Ensayo sobre la ceguera,Planchar,Paraguas,Conciencia,Sirena
Los Cazafantasmas,Donald Trump,Ballena,La chica del tren,Barrer,Refrigerador,Muerte,Guerra de Troya
Harry Potter y la piedra filosofal,Thor,Tiburón,El perfume,Bailar,Horno,Conocimiento,Cerbero
Los Vengadores,Aladdin,Tortuga,El extranjero,Cantar,Microondas,Realidad,Hidra
Interestelar,Julio Cesar,Pulpo,Rayuela,Tocar guitarra,Lavadora,Deseo,Esfinge
Joker,Homero Simpson,Conejo,Del amor y otros demonios,Tocar piano,Secadora,Bien,Centauro
Breaking Bad,Stitch,Gallina,La casa de los espíritus,Tocar la batería,Ventilador,Mal,Odin
Juego de Tronos,Pato Donald,Raton,Rebelión en la granja,Pescar,Aire acondicionado,Saber,Thor
Friends,Mulan,Medusa,La ciudad y los perros,Cazar,Televisor,Lenguaje,Loki
Los Soprano,Neil Armstrong,Estrella de mar,El resplandor,Escalar,Radio,Sueño,Freya
Stranger Things,Bruce Lee,Caballito de mar,Alicia en el país de las maravillas,Navegar,Cámara,Religion,Edipo
The Office (US),Hulk,Águila,Charlie y la Fábrica de Chocolate,Abrazar,Linterna,Dios,Heimdall
Sherlock,Sisifo,Caballo,Harry Potter y la piedra filosofal,Besar,Cuaderno,Humano,Hela
Westworld,Hannibal Lecter,Búho,El Amor en los Tiempos de Cólera,Llorar,Papel,Politica,Fenrir
The Crown,Hermione Granger,Loro,La Ladrona de Libros,Reír,Impresora,Universo,Jormungandr
El Planeta de Los Simios,Sigmund Freud,Flamenco,El Cuento de la Criada,Estornudar,Escoba,Justicia,Anubis
The Mandalorian,Elsa (Frozen),Pavo real,El Gran Gatsby,Toser,Aspiradora,Belleza,Odiseo
Black Mirror,Gabriel García Marquez,Avestruz,Percy Jackson - El ladrón del rayo,Hablar,Espejo,Astronomia,Cronos
El Laberinto del Fauno,Juana de Arco,Pingüino,Matar a un ruiseñor,Escuchar,Toalla,Movimiento,Urano
The Handmaid's Tale,Elvis Presley,Cocodrilo,Perdida,Saltar lazo,Jabón,Silencio,Gaia
Lost (Perdidos),Taylor Swift,Serpiente,Duna,Hacer abdominales,Champú,Felicidad,Bifrost
House M.D.,Gollum,Iguana,Bajo la misma estrella,Jugar basketball,Pasta dental,Orden,Atlas
The Witcher,Charles Chaplin,Camaleón,La Biblia,Jugar ping pong,Cepillo de dientes,Pitagoras,Prometeo
Betty La Fea,Robin Hood,Rana,Guerra y Paz,Talar un árbol,Pintura,Azar,Ra
Twin Peaks,Nelson Mandela,Vaca,Las mil y una noches,Boxear,Pincel,Platón,Ave Fenix
Narcos,Malala Yousafzai,Caracol,Romeo y Julieta,Peinarse,Martillo,Aristóteles,Narciso
Rick y Morty,Mike Wazowski,Mariposa,Frankenstein,Afeitarse,Tornillo,Sócrates,Helios
The Big Bang Theory,Pablo Picasso,Abeja,El arte de la guerra,Maquillarse,Destornillador,Partenón,Inframundo
Coco,Don Quijote,Hormiga,El Psicoanalista,Hacer yoga,Taladro,Descartes,Tifón
BoJack Horseman,Frida Kahlo,Escarabajo,Juego de tronos,Meditar,Tijeras,Nietzsche,Pan
La Sirenita,Simba,Libélula,El mundo como obra de arte,Tomar fotos,Cinta adhesiva,Atenas,Olimpo
